title,dept,campus,base_salary,gross_salary,hire_date,rec,page
Professor ACD YR,Biology,Camden,162886,186984,9/1/1989,4,156
Assoc Professor ACD YR,Computer Science,Camden,128846,170151,9/1/2003,7,189
Professor ACD YR,English,Camden,150175,159956,9/1/1996,2,219
Professor ACD YR,History,Camden,155563,154996,9/1/1992,2,233
Professor ACD YR,Fine Arts,Camden,154267,153473,9/1/2002,4,239
Professor ACD YR,Political Science,Camden,148187,152455,9/1/1981,4,243
Professor ACD YR,Biology,Camden,144093,146308,1/1/2010,4,262
Professor ACD YR,English,Camden,126864,146072,9/1/1993,4,263
Professor ACD YR,Mathematics,Camden,141777,140337,7/1/1968,8,280
Professor ACD YR,Computer Science,Camden,136157,135225,9/1/2000,3,299
Professor ACD YR,Philosophy & Religion,Camden,144444,131217,9/1/1978,4,318
Professor ACD YR,Psychology,Camden,131974,131070,9/1/1979,1,319
Professor ACD YR,Chemistry,Camden,115750,130228,9/1/1989,3,322
Professor ACD YR,Psychology,Camden,117070,129297,9/1/2002,3,326
Professor ACD YR,Computer Science,Camden,130225,128704,7/20/2001,9,329
Professor ACD YR,Mathematics,Camden,130491,128498,9/1/1996,9,330
Professor ACD YR,Mathematics,Camden,109322,126457,9/1/1987,4,342
Professor ACD YR,History,Camden,125641,123577,9/1/2010,4,358
Assoc Professor ACD YR,Psychology,Camden,88544,123076,9/1/2009,8,360
Professor ACD YR,Sociology,Camden,99175,120203,9/1/2002,3,377
Assoc Professor ACD YR,Computer Science,Camden,119003,119630,9/1/1998,4,381
Assoc Professor ACD YR,Biology,Camden,94915,118603,9/1/2009,1,387
Assoc Professor ACD YR,Psychology,Camden,92170,113170,9/1/2011,8,421
Assoc Professor ACD YR,Biology,Camden,89675,111606,9/1/2008,7,431
Professor ACD YR,Fine Arts,Camden,112570,111320,9/1/2000,5,433
Professor ACD YR,Fine Arts,Camden,117042,110483,9/1/2004,5,440
Assoc Professor ACD YR,Biology,Camden,109720,110415,9/1/1992,4,441
Assoc Professor ACD YR,Fine Arts,Camden,99616,109934,9/1/2011,10,445
Professor ACD YR,Computer Science,Camden,122427,108769,9/1/2010,9,453
Assoc Professor ACD YR,Chemistry,Camden,95406,108486,7/15/1999,7,455
Professor ACD YR,Sociology,Camden,108228,107495,9/1/1988,6,464
Assoc Professor ACD YR,Physics,Camden,87819,107080,9/1/2011,2,468
Assoc Professor ACD YR,Economics,Camden,97244,106607,9/1/2004,5,472
Professor ACD YR,Mathematics,Camden,106386,105506,9/1/1981,1,480
Assoc Professor ACD YR,Chemistry,Camden,88681,105294,9/1/2011,2,483
Professor ACD YR,English,Camden,105215,104466,6/19/1995,2,489
Professor ACD YR,Sociology,Camden,102060,102875,9/1/2002,2,500
Assoc Professor ACD YR,Mathematics,Camden,87053,102719,9/1/1991,8,501
Professor ACD YR,English,Camden,96281,102671,7/1/2002,10,501
Assoc Professor ACD YR,Fine Arts,Camden,84504,102559,9/1/2008,3,503
