dept,title,n,med_base_salary
AfricanAmer&African Stds,Asst Professor ACD YR,2,82000
AfricanAmer&African Stds,Assoc Professor ACD YR,1,112424
Arts Culture & Media,Professor ACD YR,5,132609
Arts Culture & Media,Asst Professor ACD YR,4,75049
Arts Culture & Media,Assoc Professor ACD YR,5,97391
Biological Sciences,Professor ACD YR,4,156445
Biological Sciences,Asst Professor ACD YR,5,90964
Biological Sciences,Assoc Professor ACD YR,7,103942
Chemistry,Professor ACD YR,2,109214.5
Chemistry,Asst Professor ACD YR,4,97464.5
Chemistry,Assoc Professor ACD YR,2,116601.5
Earth & Environmental Sci,Professor ACD YR,1,136550
Earth & Environmental Sci,Asst Professor ACD YR,1,84154
Earth & Environmental Sci,Assoc Professor ACD YR,4,100080
Economics,Professor ACD YR,5,139683
Economics,Assoc Professor ACD YR,5,123676
English,Professor ACD YR,5,141418
English,Asst Professor ACD YR,3,68691
English,Assoc Professor ACD YR,12,109969
History,Professor ACD YR,2,140985
History,Asst Professor ACD YR,8,77256
History,Assoc Professor ACD YR,7,98828
Math & Computer Science,Professor ACD YR,4,126422
Math & Computer Science,Asst Professor ACD YR,1,91560
Math & Computer Science,Assoc Professor ACD YR,6,110137
Philosophy,Professor ACD YR,1,130778
Philosophy,Asst Professor ACD YR,1,68000
Philosophy,Assoc Professor ACD YR,1,101095
Physics,Professor ACD YR,1,127696
Political Science,Professor ACD YR,4,129165
Political Science,Asst Professor ACD YR,3,88000
Political Science,Assoc Professor ACD YR,2,112038
Psychology,Professor ACD YR,4,141975.5
Psychology,Asst Professor ACD YR,3,98759
Psychology,Assoc Professor ACD YR,4,112176
Social Work,Assoc Professor ACD YR,3,91451
Sociology & Anthropology,Professor ACD YR,2,139002.5
Sociology & Anthropology,Asst Professor ACD YR,2,76754
Sociology & Anthropology,Assoc Professor ACD YR,7,106468
Spanish & Portuguese Stds,Asst Professor ACD YR,3,76000
Spanish & Portuguese Stds,Assoc Professor ACD YR,3,98572
Urban Education,Professor ACD YR,1,127973
