title,dept,campus,base_salary,gross_salary,hire_date,rec,page
Professor ACD YR,Economics,College Av,288861,317942,9/1/2002,5,41
Professor ACD YR,Civil & Environ ,Busch,237606,309499,9/1/1988,6,43
Professor ACD YR,Chem & Chemical Biology,Busch,218349,298850,9/1/2010,8,47
Professor ACD YR,Materials Science & ,Busch,193672,252553,7/1/1981,7,73
Professor ACD YR,Cell Bio & Neurosci,Busch,217165,247599,9/1/1990,8,76
Professor ACD YR,Computer Science,Busch,183379,241963,9/1/1991,9,80
Professor ACD YR,Plant Biology & Pathology,Cook,182663,240977,9/1/2006,4,81
Assoc Professor ACD YR,English,College Av,237994,237538,1/1/2011,5,84
Professor ACD YR,Materials Science & ,Off Campus,181685,235713,3/1/2003,4,85
Professor ACD YR,Physics & Astronomy,Busch,176500,234691,9/1/2016,3,86
Professor ACD YR,Economics,College Av,232880,230327,9/1/2000,5,90
Professor ACD YR,School Of Social Work,College Av,229967,229362,9/1/1981,4,91
Professor ACD YR,Political Science,Douglass,198888,224167,9/1/2006,4,98
Professor ACD YR,Jewish Studies,College Av,183272,223648,9/1/1996,10,98
Professor ACD YR,Economics,College Av,224791,222978,9/1/1986,9,99
Professor ACD YR,Economics,College Av,224402,221780,9/1/2012,1,101
Professor ACD YR,Computer Science,Busch,165010,220395,1/1/1999,4,103
Professor ACD YR,Mech & Aerospace ,Busch,166177,220248,9/1/1979,7,103
Professor ACD YR,Mech & Aerospace ,Busch,165082,218477,9/1/1997,3,106
Professor ACD YR,School Of Social Work,College Av,164574,217046,9/1/1988,6,107
Professor ACD YR,Biomedical Engineering,Busch,158086,215176,9/1/1990,10,109
Professor ACD YR,Molecular Bio&Biochem,Busch,201090,214655,9/1/2006,6,110
Professor ACD YR,Animal Science,Cook,166790,212989,9/1/1988,5,112
Professor ACD YR,Political Science,Douglass,210000,212974,9/1/1999,7,112
Assoc Professor ACD YR,Statistics,Busch,146334,212256,9/1/2008,5,113
Professor ACD YR,Economics,College Av,212493,211298,9/1/1981,10,114
Professor ACD YR,Materials Science & ,Busch,176057,210146,9/1/2002,2,116
Professor ACD YR,Chem & Biochem ,Busch,158959,208976,1/1/1997,10,116
Assoc Professor ACD YR,Philosophy,College Av,171499,208536,9/1/2016,5,117
Professor ACD YR,Chem & Biochem ,Busch,171448,206672,9/1/1978,5,120
Professor ACD YR,Mathematics,Busch,156319,206218,9/1/2015,1,121
Professor ACD YR,Biochem & Microbiology,Cook,148115,206103,10/1/1998,3,121
Professor ACD YR,Statistics,Busch,124180,205755,9/1/1999,7,121
Professor ACD YR,Geography,Livingston,206286,204874,9/1/1988,4,123
Professor ACD YR,"Eco,Evol& Natrl Resources",Cook,172582,203049,9/1/1989,8,125
Professor ACD YR,Computer Science,Busch,171361,202951,9/1/1995,10,125
Professor ACD YR,Food Science,Cook,169504,202652,7/1/1988,5,126
Professor ACD YR,Biochem & Microbiology,Cook,191796,202311,9/1/1981,2,127
Professor ACD YR,Mech & Aerospace ,Busch,151687,201037,9/1/1983,7,129
Professor ACD YR,Physics & Astronomy,Busch,148755,200446,9/1/1984,8,130
