dept,title,n,med_base_salary
 Marine & Coastal Sci,Professor ACD YR,1,151848
 Marine & Coastal Sci,Asst Professor ACD YR,2,93914
"Afri,Mdle E&So Asn Lng&Lit",Professor ACD YR,2,135924.5
"Afri,Mdle E&So Asn Lng&Lit",Asst Professor ACD YR,4,82869.5
"Afri,Mdle E&So Asn Lng&Lit",Assoc Professor ACD YR,3,100128
Africana Studies,Professor ACD YR,1,166854
Africana Studies,Asst Professor ACD YR,1,96840
Africana Studies,Assoc Professor ACD YR,3,119677
Agricultural Econ & Mktg,Professor ACD YR,2,123026.5
Agricultural Econ & Mktg,Assoc Professor ACD YR,4,109279
American Studies,Professor ACD YR,2,142967.5
American Studies,Asst Professor ACD YR,4,87452.5
American Studies,Assoc Professor ACD YR,2,135953.5
Animal Science,Professor ACD YR,2,148908.5
Animal Science,Asst Professor ACD YR,2,91129
Animal Science,Assoc Professor ACD YR,3,100285
Anthropology,Professor ACD YR,5,129301
Anthropology,Asst Professor ACD YR,3,92538
Anthropology,Assoc Professor ACD YR,3,103525
Art History,Professor ACD YR,5,120115
Art History,Asst Professor ACD YR,1,85000
Art History,Assoc Professor ACD YR,6,103047.5
Asian Language & Cultures,Professor ACD YR,2,112776.5
Asian Language & Cultures,Asst Professor ACD YR,1,88408
Asian Language & Cultures,Assoc Professor ACD YR,6,100705
Biochem & Microbiology,Professor ACD YR,4,161557.5
Biochem & Microbiology,Asst Professor ACD YR,2,93457
Biochem & Microbiology,Assoc Professor ACD YR,4,105442
Biomedical Engineering,Professor ACD YR,6,144887.5
Biomedical Engineering,Asst Professor ACD YR,4,99628
Biomedical Engineering,Assoc Professor ACD YR,7,112927
Cell Bio & Neurosci,Professor ACD YR,7,145197
Cell Bio & Neurosci,Asst Professor ACD YR,4,106381.5
Cell Bio & Neurosci,Assoc Professor ACD YR,3,113113
Chem & Biochem ,Professor ACD YR,5,145834
Chem & Biochem ,Asst Professor ACD YR,4,93003
Chem & Biochem ,Assoc Professor ACD YR,4,112307
Chem & Chemical Biology,Professor ACD YR,11,142954
Chem & Chemical Biology,Asst Professor ACD YR,7,98000
Chem & Chemical Biology,Assoc Professor ACD YR,4,119206.5
Civil & Environ ,Professor ACD YR,6,138933
Civil & Environ ,Asst Professor ACD YR,4,97472.5
Civil & Environ ,Assoc Professor ACD YR,3,119131
Classics,Asst Professor ACD YR,1,78000
Classics,Assoc Professor ACD YR,5,106271
Communication,Professor ACD YR,5,134674
Communication,Asst Professor ACD YR,4,86757
Communication,Assoc Professor ACD YR,5,106298
Computer Science,Professor ACD YR,12,165272.5
Computer Science,Asst Professor ACD YR,11,117240
Computer Science,Assoc Professor ACD YR,6,139467.5
Criminal Justice,Professor ACD YR,1,121081
Dance,Asst Professor ACD YR,2,85002.5
Dance,Assoc Professor ACD YR,2,80275.5
Earth & Planetary Sciences,Professor ACD YR,9,118568
Earth & Planetary Sciences,Asst Professor ACD YR,2,101493.5
Earth & Planetary Sciences,Assoc Professor ACD YR,1,134640
"Eco,Evol& Natrl Resources",Professor ACD YR,7,133989
"Eco,Evol& Natrl Resources",Asst Professor ACD YR,2,98784
"Eco,Evol& Natrl Resources",Assoc Professor ACD YR,2,117266.5
Economics,Professor ACD YR,14,186894.5
Economics,Asst Professor ACD YR,4,129651
Economics,Assoc Professor ACD YR,5,131286
Elec & Computer ,Professor ACD YR,12,148507.5
Elec & Computer ,Asst Professor ACD YR,6,100574.5
Elec & Computer ,Assoc Professor ACD YR,7,114931
English,Professor ACD YR,11,164911
English,Asst Professor ACD YR,6,85674
English,Assoc Professor ACD YR,23,117371
Entomology,Professor ACD YR,1,117804
Entomology,Asst Professor ACD YR,1,85000
Environmental Science,Professor ACD YR,8,127950.5
Environmental Science,Asst Professor ACD YR,1,80000
Environmental Science,Assoc Professor ACD YR,2,106714
Food Science,Professor ACD YR,4,124408.5
Food Science,Asst Professor ACD YR,1,87125
Food Science,Assoc Professor ACD YR,3,103869
French,Professor ACD YR,4,113219
French,Asst Professor ACD YR,1,82819
French,Assoc Professor ACD YR,3,99210
Genetics,Professor ACD YR,3,142643
Genetics,Asst Professor ACD YR,4,100865.5
Genetics,Assoc Professor ACD YR,6,117053
Geography,Professor ACD YR,1,206286
Geography,Asst Professor ACD YR,1,92801
Geography,Assoc Professor ACD YR,2,111201.5
"Germn,Russ&E Euro Lang&Lit",Professor ACD YR,2,137378
"Germn,Russ&E Euro Lang&Lit",Asst Professor ACD YR,1,78000
"Germn,Russ&E Euro Lang&Lit",Assoc Professor ACD YR,3,92517
History,Professor ACD YR,14,132160
History,Asst Professor ACD YR,4,86000
History,Assoc Professor ACD YR,16,114372.5
Human Ecology,Professor ACD YR,2,145630
Human Ecology,Asst Professor ACD YR,2,85629
Human Ecology,Assoc Professor ACD YR,5,112224
Industrial Engineering,Professor ACD YR,4,143024
Industrial Engineering,Asst Professor ACD YR,3,94676
Industrial Engineering,Assoc Professor ACD YR,2,110234
Italian,Professor ACD YR,3,112661
Italian,Asst Professor ACD YR,1,87152
Italian,Assoc Professor ACD YR,1,103690
Jewish Studies,Professor ACD YR,3,139418
Jewish Studies,Assoc Professor ACD YR,1,120034
Journalism & Media Stds,Professor ACD YR,1,134880
Journalism & Media Stds,Asst Professor ACD YR,3,88000
Journalism & Media Stds,Assoc Professor ACD YR,6,105890
Kinesiology And Health,Asst Professor ACD YR,2,87510.5
Kinesiology And Health,Assoc Professor ACD YR,4,116721.5
Landscape Architecture,Asst Professor ACD YR,2,85721
Landscape Architecture,Assoc Professor ACD YR,4,121092
Latino & Hispan Carib Stds,Professor ACD YR,2,184701.5
Latino & Hispan Carib Stds,Assoc Professor ACD YR,7,111195
Library & Info Science,Professor ACD YR,2,135931.5
Library & Info Science,Asst Professor ACD YR,4,88776
Library & Info Science,Assoc Professor ACD YR,4,104421
Linguistics,Professor ACD YR,5,131590
Linguistics,Asst Professor ACD YR,3,82500
Linguistics,Assoc Professor ACD YR,2,111343.5
Marine & Coastal Sciences,Professor ACD YR,9,139287
Marine & Coastal Sciences,Assoc Professor ACD YR,5,105409
Materials Science & ,Professor ACD YR,6,171435
Materials Science & ,Asst Professor ACD YR,1,102378
Materials Science & ,Assoc Professor ACD YR,2,111811.5
Mathematics,Professor ACD YR,20,136419.5
Mathematics,Asst Professor ACD YR,3,96663
Mathematics,Assoc Professor ACD YR,5,116156
Mech & Aerospace ,Professor ACD YR,12,141631.5
Mech & Aerospace ,Asst Professor ACD YR,7,95000
Mech & Aerospace ,Assoc Professor ACD YR,4,121303.5
Molecular Bio&Biochem,Professor ACD YR,5,146626
Molecular Bio&Biochem,Asst Professor ACD YR,2,103601.5
Molecular Bio&Biochem,Assoc Professor ACD YR,4,118114
Music,Professor ACD YR,7,127141
Music,Asst Professor ACD YR,7,76875
Music,Assoc Professor ACD YR,9,94674
Nutritional Sciences,Professor ACD YR,5,130580
Nutritional Sciences,Asst Professor ACD YR,1,87125
Nutritional Sciences,Assoc Professor ACD YR,3,111960
Philosophy,Professor ACD YR,6,168850.5
Philosophy,Assoc Professor ACD YR,3,159294
Physics & Astronomy,Professor ACD YR,23,135593
Physics & Astronomy,Asst Professor ACD YR,5,102500
Physics & Astronomy,Assoc Professor ACD YR,5,119402
Plant Biology & Pathology,Professor ACD YR,4,149679
Plant Biology & Pathology,Assoc Professor ACD YR,3,110677
Political Science,Professor ACD YR,7,151109
Political Science,Asst Professor ACD YR,5,92000
Political Science,Assoc Professor ACD YR,1,139304
Psychology,Professor ACD YR,13,145780
Psychology,Asst Professor ACD YR,7,95000
Psychology,Assoc Professor ACD YR,8,118363.5
Religion,Professor ACD YR,2,116736.5
