title,dept,campus,base_salary,gross_salary,hire_date,rec,page
Professor ACD YR,Rbs - Finance & Economics,Newark,251738,389686,9/1/2001,5,23
Professor ACD YR,Rbs-Management & Global Bus,Newark,304455,372698,1/1/2015,1,26
Professor ACD YR,Rbs - Finance & Economics,Newark,295474,360070,9/1/2014,1,29
Professor ACD YR,Rbs - Finance & Economics,Livingston,258724,351343,9/1/2004,5,31
Professor ACD YR,Rbs-Supply Chain Management,Newark,264211,330523,9/1/1973,3,37
Assoc Professor ACD YR,Rbs-Supply Chain Management,Newark,175949,327010,9/1/2011,6,38
Professor ACD YR,Sas - Economics,College Av,288861,317942,9/1/2002,5,41
Professor ACD YR,Engn-Civil & Environ Engn,Busch,237606,309499,9/1/1988,6,43
Professor ACD YR,Sas - Chem & Chemical Biology,Busch,218349,298850,9/1/2010,8,47
Professor ACD YR,Rbs - Finance & Economics,Livingston,218889,290691,9/1/2003,3,50
Professor ACD YR,Mgmt Science & Info Systems,Newark,200188,289613,9/1/2004,1,51
Professor ACD YR,Rbs - Finance & Economics,Newark,215736,275293,9/1/1997,1,59
Professor ACD YR,Mgmt Science & Info Systems,Newark,204975,269079,9/1/2005,7,62
Professor ACD YR,Smlr-Human Resource Management,Livingston,244483,259328,6/29/2007,6,68
Assoc Professor ACD YR,Rbs - Finance & Economics,Newark,186513,257802,9/1/2011,9,69
Professor ACD YR,Rbs-Management & Global Bus,Newark,234096,257372,7/1/2012,1,70
Professor ACD YR,School Of Business - Cmd,Camden,189757,252744,9/1/1998,6,73
Professor ACD YR,Engn-Materials Science & Engn,Busch,193672,252553,7/1/1981,7,73
Professor ACD YR,School Public Affairs & Admin,Newark,250000,249521,9/1/2008,5,75
Assoc Professor ACD YR,Rbs Acctg & Info Systems,Newark,224846,248775,9/1/2004,8,75
Assoc Professor ACD YR,Rbs-Management & Global Bus,Livingston,216901,248303,9/1/2008,4,76
Professor ACD YR,Sas-Dls-Cell Bio & Neurosci,Busch,217165,247599,9/1/1990,8,76
Professor ACD YR,Grad Sch Of Edu-Dean's Office,College Av,194038,247567,9/1/2011,9,76
Professor ACD YR,Sas - Computer Science,Busch,183379,241963,9/1/1991,9,80
Professor ACD YR,Mgmt Science & Info Systems,Livingston,188530,241899,9/1/1995,10,80
Professor ACD YR,Sebs-Plant Biology & Pathology,Cook,182663,240977,9/1/2006,4,81
Professor ACD YR,Rbs - Finance & Economics,Livingston,205287,240825,9/1/1997,5,81
Professor ACD YR,Rbs Acctg & Info Systems,Livingston,196417,238331,9/1/1976,6,83
Assoc Professor ACD YR,Sas - English,College Av,237994,237538,1/1/2011,5,84
Professor ACD YR,Engn-Materials Science & Engn,Off Campus,181685,235713,3/1/2003,4,85
Professor ACD YR,Sas - Physics & Astronomy,Busch,176500,234691,9/1/2016,3,86
Professor ACD YR,Rbs - Finance & Economics,Livingston,218436,234182,9/1/1988,7,86
Asst Professor ACD YR,Rbs Acctg & Info Systems,Livingston,193655,233965,9/1/2015,9,86
Professor ACD YR,Gsc-Grad Public Policy & Admin,Camden,163952,231729,7/1/1981,10,88
Professor ACD YR,Rbs Acctg & Info Systems,Newark,194175,231067,9/1/1991,7,89
Professor ACD YR,Rbs-Supply Chain Management,Newark,184062,230860,9/1/2002,8,89
Professor ACD YR,Sas - Economics,College Av,232880,230327,9/1/2000,5,90
Professor ACD YR,Rbs-Management & Global Bus,Newark,215000,229588,1/1/2017,1,91
Professor ACD YR,Rbs - Marketing,Newark,189527,229437,9/1/2014,3,91
Professor ACD YR,School Of Social Work,College Av,229967,229362,9/1/1981,4,91
Professor ACD YR,Rbs Acctg & Info Systems,Newark,213019,228761,9/1/1992,3,92
Professor ACD YR,Mgmt Science & Info Systems,Newark,188678,227023,9/1/1994,4,94
Asst Professor ACD YR,Rbs Acctg & Info Systems,Livingston,183825,224523,9/1/2014,2,98
Professor ACD YR,Sas - Political Science,Douglass,198888,224167,9/1/2006,4,98
Professor ACD YR,Sas - Jewish Studies,College Av,183272,223648,9/1/1996,10,98
Assoc Professor ACD YR,Rbs - Marketing,Newark,181846,223350,9/1/2015,5,99
Asst Professor ACD YR,Rbs Acctg & Info Systems,Newark,178658,223185,9/1/2014,6,99
Professor ACD YR,Sas - Economics,College Av,224791,222978,9/1/1986,9,99
Assoc Professor ACD YR,Rbs - Finance & Economics,Livingston,224863,222739,9/1/2008,10,99
Asst Professor ACD YR,Rbs Acctg & Info Systems,Newark,173613,221861,9/1/2015,9,100
Asst Professor ACD YR,Rbs Acctg & Info Systems,Newark,173613,221861,9/1/2015,10,100
Professor ACD YR,Sas - Economics,College Av,224402,221780,9/1/2012,1,101
Assoc Professor ACD YR,Rbs - Marketing,Livingston,179439,220513,9/1/2007,2,103
Professor ACD YR,Sas - Computer Science,Busch,165010,220395,1/1/1999,4,103
Professor ACD YR,Engn - Mech & Aerospace Engn,Busch,166177,220248,9/1/1979,7,103
Professor ACD YR,School Of Business - Cmd,Camden,211428,220033,7/1/1990,10,103
Assoc Professor ACD YR,"Inst-Hth,Hth Care Pol&Agng Res",College Av,165698,218884,3/1/2007,7,105
Professor ACD YR,Engn - Mech & Aerospace Engn,Busch,165082,218477,9/1/1997,3,106
Professor ACD YR,Rbs-Supply Chain Management,Livingston,190238,217521,7/1/1994,9,106
Professor ACD YR,School Of Social Work,College Av,164574,217046,9/1/1988,6,107
Professor ACD YR,Rbs - Finance & Economics,Newark,219452,216043,1/1/2000,9,108
Assoc Professor ACD YR,Rbs-Management & Global Bus,Livingston,187235,215192,9/1/2014,7,109
Professor ACD YR,Engn - Biomedical Engineering,Busch,158086,215176,9/1/1990,10,109
Assoc Professor ACD YR,Rbs-Supply Chain Management,Newark,164503,214732,9/1/2004,4,110
Professor ACD YR,Sas-Dls-Molecular Bio&Biochem,Busch,201090,214655,9/1/2006,6,110
Assoc Professor ACD YR,Rbs Acctg & Info Systems,Newark,202330,214502,9/1/2010,1,111
Professor ACD YR,Sas-Dls-Ctr Collab Neurosci,Busch,168516,213319,9/1/1985,9,111
Asst Professor ACD YR,Rbs - Finance & Economics,Newark,154710,213256,9/1/2014,1,112
Professor ACD YR,Sebs - Animal Science,Cook,166790,212989,9/1/1988,5,112
Professor ACD YR,Sas - Political Science,Douglass,210000,212974,9/1/1999,7,112
Professor ACD YR,Smlr-Labor Studies & Empl Rels,Cook,159587,212708,9/1/1995,9,112
Assoc Professor ACD YR,Sas - Statistics,Busch,146334,212256,9/1/2008,5,113
Professor ACD YR,Sas - Economics,College Av,212493,211298,9/1/1981,10,114
Assoc Professor ACD YR,Rbs - Finance & Economics,Livingston,214034,210635,9/1/2008,7,115
Professor ACD YR,Engn-Materials Science & Engn,Busch,176057,210146,9/1/2002,2,116
Professor ACD YR,Pharm-Pharmacology&Toxicology,Busch,159576,210111,1/1/2006,3,116
Professor ACD YR,Engn - Chem & Biochem Engn,Busch,158959,208976,1/1/1997,10,116
Assoc Professor ACD YR,Sas - Philosophy,College Av,171499,208536,9/1/2016,5,117
Professor ACD YR,Fasn - Biological Sciences,Newark,159090,208489,7/1/2001,6,117
Professor ACD YR,Rbs-Management & Global Bus,Newark,208368,208142,1/1/1992,9,117
Professor ACD YR,School Of Business - Cmd,Camden,201975,208142,1/1/1983,10,117
Asst Professor ACD YR,Rbs Acctg & Info Systems,Livingston,170000,207451,9/1/2016,10,118
Professor ACD YR,Waksman Inst Of Microbiology,Busch,160000,207438,3/1/2000,1,119
Professor ACD YR,Engn - Chem & Biochem Engn,Busch,171448,206672,9/1/1978,5,120
Assoc Professor ACD YR,Rbs - Finance & Economics,Newark,156403,206399,1/1/1995,9,120
Professor ACD YR,Sas - Mathematics,Busch,156319,206218,9/1/2015,1,121
Professor ACD YR,Sebs - Biochem & Microbiology,Cook,148115,206103,10/1/1998,3,121
Professor ACD YR,Sas - Statistics,Busch,124180,205755,9/1/1999,7,121
Asst Professor ACD YR,Rbs-Supply Chain Management,Livingston,158906,205275,1/1/2014,8,122
Professor ACD YR,Sas - Geography,Livingston,206286,204874,9/1/1988,4,123
Professor ACD YR,Sas - Lab For Vision Research,Busch,188723,203623,9/1/1989,1,125
Asst Professor ACD YR,Rbs - Marketing,Newark,167508,203162,9/1/2016,7,125
Professor ACD YR,"Sebs-Eco,Evol& Natrl Resources",Cook,172582,203049,9/1/1989,8,125
Professor ACD YR,Sas - Computer Science,Busch,171361,202951,9/1/1995,10,125
Professor ACD YR,Sebs - Food Science,Cook,169504,202652,7/1/1988,5,126
Professor ACD YR,Pharm-Pharmacology&Toxicology,Livingston,170370,202644,9/1/1987,6,126
Professor ACD YR,Waksman Inst Of Microbiology,Busch,153543,202596,9/1/1991,8,126
Assoc Professor ACD YR,Rbs Acctg & Info Systems,Newark,201359,202486,9/1/2009,10,126
Professor ACD YR,Sebs - Biochem & Microbiology,Cook,191796,202311,9/1/1981,2,127
Asst Professor ACD YR,Rbs - Marketing,Livingston,165900,201204,9/1/2015,9,128
Asst Professor ACD YR,Rbs - Marketing,Newark,165900,201204,9/1/2015,10,128
Professor ACD YR,Smlr-Human Resource Management,Livingston,162796,201095,7/1/1984,2,129
Professor ACD YR,Engn - Mech & Aerospace Engn,Busch,151687,201037,9/1/1983,7,129
Asst Professor ACD YR,Mgmt Science & Info Systems,Livingston,151500,200963,9/1/2016,8,129
Professor ACD YR,Gsapp - Dean's Office,Busch,201091,200682,8/1/1992,2,130
Professor ACD YR,Sas - Physics & Astronomy,Busch,148755,200446,9/1/1984,8,130
Professor ACD YR,Sas - Physics & Astronomy,Busch,151935,200067,9/1/2008,2,131
Professor ACD YR,Engn - Mech & Aerospace Engn,Busch,151565,199326,1/1/2001,7,131
Asst Professor ACD YR,Rbs-Management & Global Bus,Livingston,152700,198886,9/1/2016,3,132
Professor ACD YR,Division Of Global Affairs,Newark,200373,198772,8/1/2008,5,132
Professor ACD YR,Pharm - Chemical Biology,Busch,150957,198613,9/1/2015,6,132
Professor ACD YR,School Of Social Work,College Av,136105,198568,9/1/2006,7,132
Professor ACD YR,Sas - Philosophy,College Av,240000,198561,7/1/1996,9,132
Professor ACD YR,Engn - Elec & Computer Engn,Busch,172969,198533,9/1/1982,10,132
Professor ACD YR,Mgmt Science & Info Systems,Livingston,161097,198373,9/1/1974,7,133
Assoc Professor ACD YR,Rbs-Supply Chain Management,Newark,177280,198222,9/1/2012,1,134
Professor ACD YR,Sebs - Environmental Science,Cook,135842,198052,9/1/2007,4,134
Professor ACD YR,Pharm - Chemical Biology,Busch,151930,197975,3/1/1992,5,134
Professor ACD YR,Sas - Economics,College Av,197461,197631,9/1/2011,9,134
Professor ACD YR,Camden School Of Nursing,Camden,195040,197610,9/1/1996,10,134
Professor ACD YR,Engn - Elec & Computer Engn,Off Campus,152015,196908,9/1/2004,1,136
Professor ACD YR,Sas - Physics & Astronomy,Busch,146448,196320,9/1/1989,7,136
Assoc Professor ACD YR,School Of Criminal Justice,Newark,140873,195922,9/1/2008,4,137
Asst Professor ACD YR,Rbs-Management & Global Bus,Livingston,160800,195827,9/1/2016,6,137
Assoc Professor ACD YR,Sas - Computer Science,Busch,151396,195371,9/1/2012,2,138
Asst Professor ACD YR,Rbs-Management & Global Bus,Newark,160000,195250,9/1/2016,8,138
Assoc Professor ACD YR,Smlr-Human Resource Management,Livingston,160000,195249,1/1/2017,9,138
Professor ACD YR,Engn - Elec & Computer Engn,Busch,160241,194730,1/1/2016,1,140
Assoc Professor ACD YR,Rbs Acctg & Info Systems,Newark,198705,194326,9/1/2010,8,140
Asst Professor ACD YR,Rbs - Finance & Economics,Livingston,184389,194255,9/1/2011,9,140
Professor ACD YR,Smlr-Labor Studies & Empl Rels,Cook,180981,194149,9/1/1992,1,141
Asst Professor ACD YR,Rbs Acctg & Info Systems,Newark,155000,194147,9/1/2016,3,141
Assoc Professor ACD YR,School Of Business - Cmd,Camden,162361,194126,9/1/2007,4,141
Professor ACD YR,Cmbn,Newark,147091,194011,1/1/1991,7,141
Professor ACD YR,Rbs Acctg & Info Systems,Livingston,166515,193839,9/1/2008,2,142
Professor ACD YR,Sc&I - Communication,College Av,168532,193749,9/1/1981,6,142
Professor ACD YR,Waksman Inst Of Microbiology,Busch,159517,193718,9/1/1990,7,142
Asst Professor ACD YR,Rbs-Management & Global Bus,Newark,158294,193167,9/1/2013,4,143
Professor ACD YR,Sas - Economics,College Av,165547,193136,9/1/1994,5,143
Professor ACD YR,Sas - Dls - Genetics,Busch,145915,193004,3/1/2000,7,143
Professor ACD YR,Engn - Mech & Aerospace Engn,Busch,146634,192980,9/1/1993,8,143
Professor ACD YR,Fasn - Biological Sciences,Newark,153800,192966,1/1/1987,10,143
Asst Professor ACD YR,Rbs - Finance & Economics,Newark,194975,192912,9/1/2014,2,144
Professor ACD YR,Engn-Civil & Environ Engn,Busch,162978,192488,1/1/2016,2,145
Professor ACD YR,Sas - English,College Av,183500,192396,9/1/2007,3,145
Professor ACD YR,Sebs-Agricultural Econ & Mktg,Cook,119248,191827,8/17/1992,4,146
Professor ACD YR,Sas - Computer Science,Busch,192870,191549,9/1/1983,4,147
Professor ACD YR,Sas - Philosophy,College Av,192549,191309,9/1/2009,7,147
Professor ACD YR,Fasn - Biological Sciences,Newark,192828,190964,9/1/1978,3,148
Asst Professor ACD YR,Rbs-Supply Chain Management,Newark,156845,190829,9/1/2016,8,148
Professor ACD YR,School Of Social Work,College Av,112684,190820,9/1/2007,9,148
Asst Professor ACD YR,Rbs-Supply Chain Management,Newark,155977,190702,9/1/2016,10,148
Assoc Professor ACD YR,Rbs-Management & Global Bus,Newark,188594,190559,9/1/2009,4,149
Professor ACD YR,School Of Social Work,College Av,157400,190448,1/1/2016,8,149
Professor ACD YR,Engn - Biomedical Engineering,Busch,169208,190324,9/1/2004,2,150
Assoc Professor ACD YR,Sas - Statistics,Busch,155000,190090,1/1/2017,4,150
Assoc Professor ACD YR,Rbs-Management & Global Bus,Livingston,191881,190074,9/1/2011,6,150
Professor ACD YR,School Of Criminal Justice,Newark,200000,189394,9/1/2011,7,151
Professor ACD YR,Engn - Elec & Computer Engn,Off Campus,152502,189312,9/1/2002,8,151
Asst Professor ACD YR,Mgmt Science & Info Systems,Newark,156251,189148,9/1/2015,9,151
Asst Professor ACD YR,Smlr-Human Resource Management,Livingston,156634,188659,9/1/2015,1,153
Asst Professor ACD YR,Smlr-Human Resource Management,Livingston,156634,188659,9/1/2015,2,153
Professor ACD YR,Pharm - Pharmaceutics,Busch,155901,188271,9/1/2005,9,153
Assoc Professor ACD YR,Rbs-Management & Global Bus,Livingston,177309,188108,9/1/2002,4,154
Professor ACD YR,School Of Business - Cmd,Camden,182680,188098,9/1/1994,6,154
Professor ACD YR,Rbs - Marketing,Newark,190210,187997,4/11/1974,7,154
Professor ACD YR,Sas - History,College Av,174483,187971,7/1/1996,8,154
Assoc Professor ACD YR,Rbs Acctg & Info Systems,Newark,180774,187601,9/1/1999,4,155
Professor ACD YR,Sas-Dls-Ctr Collab Neurosci,Busch,187792,187433,9/1/1999,6,155
Assoc Professor ACD YR,Rbs Acctg & Info Systems,Newark,184955,187111,9/1/2010,10,155
Professor ACD YR,Fasc - Biology,Camden,162886,186984,9/1/1989,4,156
Professor ACD YR,Waksman Inst Of Microbiology,Busch,135471,186899,9/1/1996,5,156
Professor ACD YR,Sebs - Human Ecology,Cook,141350,186508,9/1/2004,1,157
Professor ACD YR,School Of Business - Cmd,Camden,177879,186213,7/1/1990,8,157
Professor ACD YR,Gse - Education Psychology,College Av,141645,185671,9/1/1988,6,158
Professor ACD YR,Engn - Chem & Biochem Engn,Busch,145834,185396,9/1/1984,1,159
Professor ACD YR,Engn-Materials Science & Engn,Busch,166813,185140,9/1/2003,7,159
