title,dept,campus,base_salary,gross_salary,hire_date,rec,page
Professor ACD YR,Economics,College Av,288861,317942,9/1/2002,5,41
Professor ACD YR,Chem & Chemical Biology,Busch,218349,298850,9/1/2010,8,47
Professor ACD YR,Cell Bio & Neurosci,Busch,217165,247599,9/1/1990,8,76
Professor ACD YR,Computer Science,Busch,183379,241963,9/1/1991,9,80
Assoc Professor ACD YR,English,College Av,237994,237538,1/1/2011,5,84
Professor ACD YR,Physics & Astronomy,Busch,176500,234691,9/1/2016,3,86
Professor ACD YR,Economics,College Av,232880,230327,9/1/2000,5,90
Professor ACD YR,Political Science,Douglass,198888,224167,9/1/2006,4,98
Professor ACD YR,Jewish Studies,College Av,183272,223648,9/1/1996,10,98
Professor ACD YR,Economics,College Av,224791,222978,9/1/1986,9,99
Professor ACD YR,Economics,College Av,224402,221780,9/1/2012,1,101
Professor ACD YR,Computer Science,Busch,165010,220395,1/1/1999,4,103
Professor ACD YR,Molecular Bio&Biochem,Busch,201090,214655,9/1/2006,6,110
Professor ACD YR,Political Science,Douglass,210000,212974,9/1/1999,7,112
Assoc Professor ACD YR,Statistics,Busch,146334,212256,9/1/2008,5,113
Professor ACD YR,Economics,College Av,212493,211298,9/1/1981,10,114
Assoc Professor ACD YR,Philosophy,College Av,171499,208536,9/1/2016,5,117
Professor ACD YR,Mathematics,Busch,156319,206218,9/1/2015,1,121
Professor ACD YR,Statistics,Busch,124180,205755,9/1/1999,7,121
Professor ACD YR,Geography,Livingston,206286,204874,9/1/1988,4,123
Professor ACD YR,Computer Science,Busch,171361,202951,9/1/1995,10,125
Professor ACD YR,Physics & Astronomy,Busch,148755,200446,9/1/1984,8,130
Professor ACD YR,Physics & Astronomy,Busch,151935,200067,9/1/2008,2,131
Professor ACD YR,Philosophy,College Av,240000,198561,7/1/1996,9,132
Professor ACD YR,Economics,College Av,197461,197631,9/1/2011,9,134
Professor ACD YR,Physics & Astronomy,Busch,146448,196320,9/1/1989,7,136
Assoc Professor ACD YR,Computer Science,Busch,151396,195371,9/1/2012,2,138
Professor ACD YR,Economics,College Av,165547,193136,9/1/1994,5,143
